,,Question about the audience for the text: who will the first DP Creator installation be for/open to? Only Harvard Dataverse uses? Who if not? Will installations in the future be able to change the text on the home page to suit their installation?,
confirm variables,confirm variables intro,"<p><b>Select the variables</b> you want to use to generate your differentially private statistics. For each selected variable, please do the following:</p>
<ul><li>Update the <b>Variable Label</b> (optional)
</li><li>Check that the <b>Type</b> is correct. <a href='/more-information#more-info-inferred-types'>An incorrect <b>Type</b> can result in a privacy violation.</a>
</li><li>For <b>Float</b> and <b>Integer</b> variables,  please enter upper and lower bounds that a knowledgeable person might estimate without looking at the data.
<ul><li>Ranges that are too broad may add too much noise.
</li><li>Ranges that art too narrow may censor values and introduce bias.
</li><li>For example, if the variable is “age”, a reasonable range might be a min of 0 and a max of 100.
</li></ul></li><li>For <b>Categorical</b> variables, please enter categories that a reasonable person might estimate without looking at the data file.
<ul><li>                For example, if the variable is “eye color”, categories might include “brown, blue, black, green”
</li></ul></li><li>WARNING: It is important that you DO NOT copy the exact minimum and maximum values or categories for your data file. If these are not publicly published values,  using exact values can violate privacy.
</li></ul>","First, you have to review, adjust and confirm the variables of your dataset. These will be considered in the generation of
the differential privacy release. To adjust the necessary parameters to complete the process, you will need to set a valid
range depending on the variable's type in the table below."
confirm variables,help variable,"Examples. Numerical variable ""age"": min: 0, max: 100. Categorical variable ""eye color"": brown, blue, black, green",
confirm variables,help type,"Type is inferred when data is imported. If it is not inferred correctly, cancel the release, and edit the original file.",
set epsilon,epsilon intro,"The questions below will help determine the appropriate variant of differential privacy to use for your dataset and possible adjustments to the privacy parameters.","The questions below will help determine the appropriate variant of differential privacy to use for your dataset and possible adjustments to the privacy parameters."
set epsilon,help epsilon,"Epsilon is a metric of privacy loss at a differentially change in data (adding, removing 1 entry). The smaller the value is, the better
privacy protection.","Epsilon is a metric of privacy loss at a differentially change in data (adding, removing 1 entry). The smaller the value is, the better
privacy protection."
set epsilon,help data secret,"<b>If the data is a simple random sample, we can use methods (amplification) to increase the accuracy and utility of the statistics you create</b>. For example, information about persons, their behavior, beliefs and attributes is generally private information that individuals in
the data file would not want publicly shared in their name and should be marked “yes”. Information that is solely about institutions,
corporations, natural phenomena, etc., that are public record and can be publicly distributed, does not depend on private
information.","For example, information about persons, their behavior, beliefs and attributes is generally private information that individuals in
the dataset would not want publicly shared in their name and should be marked “yes”. Information that is solely about institutions,
corporations, natural phenomena, etc., that are public record and can be publicly distributed, does not depend on private
information."
set epsilon,help data public,"<b>If the data file size can be made public, we don't need to spend a portion of your privacy budget to estimate it.</b> For example, the number of observations in a data file containing a 5% sample of California voters is public, but the number of observations in a data file containing all cancer patients in a particular hospital may not be public, as it could be combined with auxiliary information to reveal whether or not a patient has cancer.","For example, the number of observations in a dataset containing a 5% sample of California voters is public, but the number of observations in a dataset containing all cancer patients in a particular hospital may not be public, as it could be combined with auxiliary information to reveal whether or not a patient has cancer."
create statistics,statistics intro,Create the statistics you would like to release. Confirm the default levels or edit them to change the degree of noise or interference you'd like to add. The default values distribute epsilon evenly across variables.,"Create the statistics you would like to release. Please edit and confirm the degree of noise or interference you'd like to
add to the statistics."
create statistics,more info 1-3,"Where should these links go? (or one link in the epsilon warning, below?)",Where should these links go?
create statistics,epsilon warning,"Changing the epsilon, delta, or significance level will directly impact the privacy settings. Every DP statistic has a different tradeoff between epsilon value and accuracy. Splitting the budget evenly can diminish the usefulness of statistics. More complex statistics will generally require more budget. (<a href='/more-information#more-info-epsilon'>More Information about Privacy Budgeting and Epsilon (&epsilon;)</a>)",
create statistics,statistics help,"You can apply differentially private statistics to single or multiples variables. Then, you can edit these statistics, lock them or delete them so that changes...","You can apply different statistics to single or multiples variables. Then, you can edit these statistics, lock them or delete
them."
create statistics,help epsilon,(Not in the AM files but needed?),
create statistics,help error,Error is the measure of uncertainty for the statistic.,Calculated error to be added to your statistic.
create statistics,edit epsilon warning,"Are you sure?
Changing the epsilon, delta, or significance level will directly impact the privacy settings. ","Changing the epsilon, delta, or significance level will directly impact the privacy settings. We recommend
using the default values provided by the system"
create statistics,confirm 1,"      
          <strong
          >The recommended values below are based upon your dataset type
            selection <br
            /></strong>
    "," <span>
          <strong
          >The recommended values below are based upon your dataset type
            selection <br
            /></strong>
        </span>"
create statistics,confirm 2,"Note: Larger Epsilon corresponds to larger privacy loss budget, and hence, less privacy.
We do not recommend Epsilon exceding 1.","Note: Larger X corresponds to larger privacy loss budget, and hence, less privacy.
We do not recommend X exceding 1."
create statistics,confirm 3,Note: Delta is the probability of a blatant privacy violation. Delta values larger than the reciprocal of the dataset size are not allowed.,Note: X is the probability of a blatant privacy violation. X values larger than the reciprocal of the dataset size are not allowed.
create statistics,confirm 4,The level of privacy protection for individuals in the dataset is governed by two privacy-loss parameters - x & x.,The level of privacy protection for individuals in the dataset is governed by two privacy-loss parameters - x & x. Watch video to learn more.
generate DP,generate text,"The final step is to submit the statistics and generate the differential privacy release. This will finalize the current
selections and spend your allocated privacy budget on them.","The final step is to submit the statistics and generate the differential privacy release. This will finalize the current
selections and spend your allocated privacy budget on them."
generate DP,generate status,"(Include a summary of the statistics being requested/work to be done. The equivalent of reviewing a shopping cart before confirming the order. Note this is missing from the Agile Monkeys files, but is in the Miro file)",
more information,title,DP Creator Concepts,
more information,differential privacy title,Differential Privacy,
more information,differential privacy text,"<p>Differential privacy (DP) provides a mathematically measurable privacy guarantee to individuals by adding a carefully tuned amount of statistical noise to sensitive data. It promises significantly higher privacy protection levels than commonly used disclosure limitation practices like data anonymization.</p>

<p>To learn more about differential privacy, we recommend starting with these two resources:</p>

<p>(1) <a href=""https://admindatahandbook.mit.edu/book/v1.0/diffpriv.html"" target=""_blank""><b>Designing Access with Differential Privacy</b></a></p>

<p>This book chapter explains differential privacy using intuitive examples rather than the mathematical formalism used in many other guides. Authored by Alexandra Wood (Harvard University), Micah Altman  (Massachusetts Institute of Technology), Kobbi Nissim  (Georgetown University), and Salil Vadhan (Harvard University).</p>

<p>(2) <a href=""https://azure.microsoft.com/en-us/resources/microsoft-smartnoisedifferential-privacy-machine-learning-case-studies/"" target=""_blank""><b>Differential Privacy Machine Learning Case Studies</b></a></p>
<p>This whitepaper, authored by Andreas Koop at Microsoft, is based on a collaboration with the <a href=""https://opendp.org""  target=""_blank"">OpenDP project</a> and Microsoft provides illustrative examples of DP applications and how they differ from traditional data anonymization practices.</p>

<p>Additional resources, including the foundational book <a href=""https://www.cis.upenn.edu/~aaroth/Papers/privacybook.pdf"" target=""_blank"">The Algorithmic Foundations of Differential Privacy</a>, by Cynthia Dwork and Aaron Roth, may be found at <a href=""https://differentialprivacy.org/resources/"" target=""_blank"">differentialprivacy.org/resources</a> and <a href=""https://privacytools.seas.harvard.edu/courses-educational-materials"" target=""_blank"">privacytools.seas.harvard.edu/courses-educational-materials</a>.</p>",
more information,registered dataverses title,What is a registered Dataverse?,
more information,registered dataverses text,"<p><a href=""https://dataverse.org/"">Dataverse</a> is an open source web application to share, preserve, cite, explore, and analyze research data. Currently there are over 60 Dataverse installations throughout the world. Registering a Dataverse installation with the DP Creator application, allows Dataverse users to create differentially private releases from their datasets.</p>

<p>The registration process uses Dataverse's <a href=""https://guides.dataverse.org/en/latest/admin/external-tools.html"">external tools framework</a>. Alternately, DP Creator may be installed for a specific Dataverse's installation to conform with an organization's security requirements.</p>

<p>For more information, please <a href=""https://docs.opendp.org/en/stable/contact/index.html"">contact us</a>.</p>",
more information,epsilon title,Privacy Budgeting and Epsilon (&epsilon;)?,
more information,epsilon text,"<p>If you are not familiar with differential privacy, one analogy for privacy budgeting is going clothes shopping with a fixed budget. With a fixed budget you can only purchase so many items and have to prioritize which pieces are most important for your wardrobe.</p>
<p>Within differential privacy, the privacy budget is known as epsilon, denoted by the Greek letter <b>&epsilon;</b>.</p>
<p>As an example, let's say your epsilon, or privacy budget, is 1.0. When you are at the stage of selecting DP statistics to calculate, you can decide how much epsilon to ""spend."" For example, suppose your data file contains the variable ""Age"" and you want to ""buy"", or calculate, the DP mean of Age. You could start by ""spending,"" or budgeting, 0.5 epsilon for that statistic.</p>
<ul>
<li><b>Statistic:</b> DP Mean of Age</li>
<li><b>Budget/Epsilon &epsilon;:</b> 0.5 </li>
</ul><br />
<p>At this point, <i>before</i> running an actual calculation or touching the source data file, DP Creator can determine an error measure for the calculation. In the example below, with a Confidence Level set to 95%, the error is 0.479:</p>
<ul>
<li><b>Statistic:</b> DP Mean of Age</li>
<li><b>Budget/Epsilon &epsilon;:</b> 0.5 </li>
<li><b>Error:</b> 0.479</li>
<li><b>What it means:</b><br />
There is 95% confidence that the DP Mean will be within 0.479 years of the actual mean age.</p></li>
</li>
</ul>
<p>As may be seen above, with an &epsilon; of <b>0.5</b>, the error is <b>0.479</b>. Now, what if you used less &epsilon;, say 0.25?</p>
<ul>
<li><b>Statistic:</b> DP Mean of Age</li>
<li><b>Budget/Epsilon &epsilon;:</b> 0.25 </li>
<li><b>Error:</b> 0.959 </li>
<li><b>What it means:</b><br />
There is 95% confidence that the DP Mean will be within 0.959 years of the actual mean age.</p></li>
</li>
</ul>
<p>In this case, using less &epsilon; <i>increases</i> the error, giving stronger privacy protection but less accuracy.</p>
<p>In contrast, what happens when more &epsilon; is allocated for the same statistic? Say 0.75:</p>
<ul>
<li><b>Statistic:</b> DP Mean of Age</li>
<li><b>Budget/Epsilon &epsilon;:</b> 0.75 </li>
<li><b>Error:</b> 0.320 </li>
<li><b>What it means:</b><br />
There is 95% confidence that the DP Mean will be within 0.320 years of the actual mean age.</p></li>
</li>
</ul>
<p>Looking through this example, using more &epsilon; <i>decreases</i> the error, giving less privacy protection but more accuracy.</p>
<p>These examples show how increasing or decreasing the epsilon, or privacy budget, changes the error, impacting the privacy/accuracy of the statistic. </p>
<table style=""border: 1px solid #1658a3;text-align:center;"" cellspacing=""15"" cellpadding=""10"">
<tr>
<th>epsilon</th>
<th>error/accuracy</th>
</tr>
<tr>
<td>0.25</td>
<td>0.959</td>
</tr>
<tr>
<td>0.50</td>
<td>0.479</td>
</tr>
<td>0.75</td>
<td>0.320</td>
</tr>
</table><br />
<p>The relationship between epsilon and error/accuracy may be described as:</p>
<ul>
<li>Lower <b>&epsilon;</b> value --> higher error --> stronger privacy, less accuracy</li>
<li>Higher <b>&epsilon;</b> value --> lower error --> weaker privacy, more accuracy</li>
</ul><br />
<p>Again, this accuracy/error measure may be determined <i>before</i> running the actual calculation. This allows you to experiment with different statistics and epsilon allocations before calculating the DP statistics. It is simillar to adding/removing/editing items in an online shopping cart before committing to a purchase.</p>
<p>As a rule of thumb, <b>&epsilon;</b> should be thought of as a small number, between approximately 1/100 and 1.</p>
<p><i>(Note: This information has been excerpted from the book chapter <a href=""https://admindatahandbook.mit.edu/book/v1.0/diffpriv.html"" target=""_blank"">Designing Access with Differential Privacy</a>, which also contains illustrative examples.)</i></p>",
more information,delta title,What is delta (&delta;)?,
more information,delta text,"<p>Delta (&delta;) is a second privacy-loss parameter used when calculating some differentially private statistics.</p>  

<p>This parameter  controls the probability that a privacy breach event would happen, and hence should be kept
very small (e.g., one in a billion).</p>  ",
more information,inferred-types title,Variable Types,
more information,inferred-types text,"<p>When DP Creator first reads a data file, it attempts to infer each variable type, distinguishing between: Boolean, Categorical, Float, and Integer.</p>
<p>However, this inference may not be correct and needs to be double-checked by the user! Without checking, a privacy violation may occur.</p>
<p>For example, a dataset variable may be inferred to be <b>Boolean</b> because only two values for that variable appear in the data file. However, there may be more possible values that are not present in the data. The <i>absence</i> of those values may result in a privacy violation.</p>
<p>For example:</p>
<ul>
<li>Pretend all people can one have one of three possible shape biomarkers: circle, square, and trapezoid--and trapezoid is associated with a fatal disease.</li>
<li>A dataset on people living in Sunrise Beach, Los Angeles is loaded into DP Creator and the ShapeBiomarker variable includes the values circle and trapezoid (the fatal shape) but not square.
    <br />&nbsp; &nbsp;<b>All possible values:</b> circle, square, and trapezoid
    <br />&nbsp; &nbsp;<b>Values in the dataset</b>: circle, trapezoid
    <br />&nbsp; &nbsp;<b>Incorrect Type inference</b>: Boolean
    <br />&nbsp; &nbsp;<b>Actual Type</b>: Categorical
</li>
<li>Finding only two values in the dataset, DP Creator infers it to be type <b>Boolean</b></li>
<li>If the type is not corrected to <b>Categorical</b> and a histogram is run on the ShapeBiomarker variable, someone with knowledge of shape biomarkers will be able to learn that no one in Sunrise Beach has the ShapeBiomarker ""square.""</li>
<li>Depending on the histogram values, the size of Sunrise Beach, and available adjacent data someone may be able to identify people who have the fatal trapezoid biomarker.</li>
<li>A serious privacy violation has occurred!</li>
</ul><br />
<p><i>Remember to check that the Variable Type is correct!</i></p>",
more information,confidence title,What is a confidence level?,
more information,confidence text,CI is,
